Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Herbeumont,6887,1,house,house,250000,,4,148,1,18,1,862,1601,4,,10673191,to renovate,https://www.immoweb.be/en/classified/house/for-sale/herbeumont/6887/10673191
,Denderleeuw,9470,0,house,house,389000,,4,218,1,21,1,200,320,2,,10660144,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660144
,Waterloo,1410,1,house,house,720000,,4,348,1,150,1,450,1066,3,,10673155,as new,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10673155
,Denderleeuw,9470,1,house,house,389000,,4,218,1,21,1,200,330,2,,10660145,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660145
,Denderleeuw,9470,1,house,house,446000,,4,228,1,18,1,300,477,3,,10660143,as new,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/10660143
,Liege,4000,0,house,town house,189000,,2,110,1,,1,100,210,2,,10651068,to be done up,https://www.immoweb.be/en/classified/town-house/for-sale/liege/4000/10651068
,Ronse,9600,1,house,house,220000,,4,171,,,1,33,182,2,,10650938,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10650938
,Liege,4000,1,house,house,149000,,4,129,1,27,1,28,75,2,,10651408,to renovate,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/10651408
,Welkenraedt,4841,0,house,house,235000,,5,230,,,1,339,432,3,,10651409,good,https://www.immoweb.be/en/classified/house/for-sale/welkenraedt/4841/10651409
,Schaerbeek,1030,1,apartment,apartment,425000,,3,137,1,8,,,,3,,10660108,as new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10660108
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,495000,,4,160,1,30,,,,,,10659994,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10659994
,Ixelles,1050,1,apartment,apartment,1839000,,3,203,1,76,,,,2,,10648643,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10648643
,Zottegem Strijpen,9620,1,apartment,duplex,510000,,3,175,1,13,1,450,,2,,10672527,as new,https://www.immoweb.be/en/classified/duplex/for-sale/zottegem%20strijpen/9620/10672527
,Middelkerke,8430,1,apartment,apartment,375000,,1,65,1,,,,,2,,10672353,good,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10672353
,Etterbeek,1040,1,apartment,apartment,315000,,2,70,1,9,,,,,,10672104,good,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10672104
,Bruxelles,1040,,apartment,apartment,650000,,3,216,,,,,,3,,10669000,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/10669000
,Marche-en-Famenne,6900,1,apartment,duplex,198000,,3,124,1,2,,,,3,,10658175,as new,https://www.immoweb.be/en/classified/duplex/for-sale/marche-en-famenne/6900/10658175
,Herent,3020,1,apartment,apartment,398000,,2,90,1,18,,,,4,,10660441,as new,https://www.immoweb.be/en/classified/apartment/for-sale/herent/3020/10660441
,Blankenberge,8370,1,apartment,apartment,279000,,2,70,1,,,,,,,10658716,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10658716
